Country,Race,Age,Age_Group,Gender,Ordering,E_Trait_mean,E_Trait_std,E_Trait_count,A_Trait_mean,A_Trait_std,A_Trait_count,C_Trait_mean,C_Trait_std,C_Trait_count,N_Trait_mean,N_Trait_std,N_Trait_count,O_Trait_mean,O_Trait_std,O_Trait_count
United States of America,All,29,All,Female,Nationality -> Age -> Gender,3.2,0.122,5,4.18,0.045,5,3.58,0.13,5,3.28,0.045,5,3.8,0.0,5
United States of America,All,29,All,Male,Age -> Gender -> Nationality,2.933,0.058,3,4.133,0.058,3,3.433,0.058,3,3.3,0.0,3,3.7,0.0,3
United States of America,All,29,All,Male,Gender -> Age -> Nationality,3.1,0.1,3,4.133,0.058,3,3.5,0.1,3,3.3,0.0,3,3.8,0.0,3
United States of America,All,29,All,Male,Nationality -> Age -> Gender,3.067,0.115,3,4.1,0.0,3,3.6,0.0,3,3.333,0.058,3,3.767,0.058,3
United States of America,All,30,All,Female,Age -> Gender -> Nationality,3.1,0.2,4,4.125,0.05,4,3.65,0.058,4,3.275,0.05,4,3.725,0.05,4
United States of America,All,30,All,Female,Gender -> Age -> Nationality,3.125,0.171,4,4.2,0.0,4,3.65,0.058,4,3.4,0.115,4,3.8,0.0,4
United States of America,All,30,All,Female,Nationality -> Age -> Gender,3.2,0.216,4,4.175,0.05,4,3.65,0.058,4,3.325,0.15,4,3.75,0.1,4
United States of America,All,30,All,Male,Age -> Gender -> Nationality,3.2,,1,4.0,,1,3.5,,1,3.3,,1,3.7,,1
United States of America,All,30,All,Male,Gender -> Age -> Nationality,3.4,,1,4.1,,1,3.5,,1,3.3,,1,3.8,,1
United States of America,All,30,All,Male,Nationality -> Age -> Gender,3.4,,1,4.1,,1,3.8,,1,3.3,,1,3.8,,1
United States of America,All,31,All,Female,Age -> Gender -> Nationality,3.057,0.162,7,4.157,0.079,7,3.557,0.053,7,3.271,0.125,7,3.771,0.049,7
United States of America,All,31,All,Female,Gender -> Age -> Nationality,2.971,0.18,7,4.157,0.053,7,3.586,0.09,7,3.3,0.1,7,3.771,0.049,7
United States of America,All,31,All,Female,Nationality -> Age -> Gender,3.057,0.162,7,4.143,0.053,7,3.614,0.09,7,3.3,0.1,7,3.786,0.038,7
United States of America,All,31,All,Male,Age -> Gender -> Nationality,3.2,0.274,5,4.16,0.055,5,3.48,0.11,5,3.24,0.089,5,3.74,0.089,5
United States of America,All,31,All,Male,Gender -> Age -> Nationality,3.2,0.316,5,4.14,0.055,5,3.58,0.13,5,3.34,0.089,5,3.78,0.045,5
United States of America,All,31,All,Male,Nationality -> Age -> Gender,3.14,0.089,5,4.14,0.055,5,3.56,0.055,5,3.34,0.055,5,3.76,0.055,5
United States of America,All,32,All,Female,Age -> Gender -> Nationality,2.986,0.168,7,4.2,0.0,7,3.586,0.069,7,3.286,0.121,7,3.743,0.053,7
United States of America,All,32,All,Female,Gender -> Age -> Nationality,3.114,0.212,7,4.157,0.053,7,3.657,0.053,7,3.286,0.038,7,3.786,0.038,7
United States of America,All,32,All,Female,Nationality -> Age -> Gender,3.2,0.163,7,4.129,0.049,7,3.6,0.082,7,3.271,0.049,7,3.771,0.049,7
United States of America,All,32,All,Male,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.5,,1,3.5,,1,3.7,,1
United States of America,All,32,All,Male,Gender -> Age -> Nationality,3.4,,1,4.1,,1,3.5,,1,3.4,,1,3.6,,1
United States of America,All,32,All,Male,Nationality -> Age -> Gender,3.2,,1,4.0,,1,3.5,,1,3.3,,1,3.8,,1
United States of America,All,33,All,Female,Age -> Gender -> Nationality,3.033,0.321,3,4.133,0.115,3,3.6,0.0,3,3.3,0.173,3,3.767,0.115,3
United States of America,All,33,All,Female,Gender -> Age -> Nationality,2.967,0.252,3,4.133,0.058,3,3.6,0.1,3,3.367,0.115,3,3.8,0.0,3
United States of America,All,33,All,Female,Nationality -> Age -> Gender,3.2,0.2,3,4.033,0.058,3,3.6,0.1,3,3.367,0.115,3,3.8,0.0,3
United States of America,All,33,All,Male,Age -> Gender -> Nationality,3.2,,1,4.2,,1,3.7,,1,3.3,,1,3.7,,1
United States of America,All,33,All,Male,Gender -> Age -> Nationality,3.2,,1,4.1,,1,3.6,,1,3.3,,1,3.8,,1
United States of America,All,33,All,Male,Nationality -> Age -> Gender,3.2,,1,4.0,,1,3.6,,1,3.3,,1,3.8,,1
United States of America,All,34,All,Female,Age -> Gender -> Nationality,3.1,,1,4.1,,1,3.7,,1,3.3,,1,3.7,,1
United States of America,All,34,All,Female,Gender -> Age -> Nationality,3.1,,1,4.1,,1,3.6,,1,3.3,,1,3.9,,1
United States of America,All,34,All,Female,Nationality -> Age -> Gender,3.3,,1,4.1,,1,3.6,,1,3.2,,1,3.7,,1
United States of America,All,34,All,Male,Age -> Gender -> Nationality,3.05,0.212,2,4.1,0.0,2,3.3,0.0,2,3.25,0.071,2,3.75,0.071,2
United States of America,All,34,All,Male,Gender -> Age -> Nationality,3.15,0.212,2,4.1,0.141,2,3.55,0.071,2,3.35,0.071,2,3.75,0.071,2
United States of America,All,34,All,Male,Nationality -> Age -> Gender,3.3,0.0,2,4.15,0.071,2,3.6,0.141,2,3.25,0.071,2,3.8,0.141,2
United States of America,All,35,All,Female,Age -> Gender -> Nationality,3.133,0.153,3,4.133,0.058,3,3.6,0.1,3,3.333,0.153,3,3.833,0.058,3
United States of America,All,35,All,Female,Gender -> Age -> Nationality,3.233,0.058,3,4.167,0.058,3,3.6,0.0,3,3.267,0.058,3,3.767,0.058,3
United States of America,All,35,All,Female,Nationality -> Age -> Gender,3.2,0.1,3,4.033,0.058,3,3.6,0.1,3,3.233,0.058,3,3.733,0.058,3
United States of America,All,35,All,Male,Age -> Gender -> Nationality,3.2,0.265,3,4.2,0.0,3,3.567,0.058,3,3.3,0.0,3,3.733,0.058,3
United States of America,All,35,All,Male,Gender -> Age -> Nationality,3.033,0.208,3,4.133,0.058,3,3.667,0.153,3,3.267,0.058,3,3.7,0.0,3
United States of America,All,35,All,Male,Nationality -> Age -> Gender,3.2,0.0,3,4.133,0.058,3,3.533,0.153,3,3.3,0.0,3,3.633,0.115,3
United States of America,All,36,All,Female,Age -> Gender -> Nationality,3.167,0.115,3,4.1,0.1,3,3.633,0.153,3,3.233,0.058,3,3.767,0.058,3
United States of America,All,36,All,Female,Gender -> Age -> Nationality,3.067,0.208,3,4.167,0.058,3,3.533,0.058,3,3.267,0.058,3,3.733,0.058,3
United States of America,All,36,All,Female,Nationality -> Age -> Gender,3.333,0.058,3,4.2,0.0,3,3.567,0.153,3,3.3,0.0,3,3.8,0.0,3
United States of America,All,36,All,Male,Age -> Gender -> Nationality,3.0,0.141,2,4.15,0.071,2,3.55,0.071,2,3.3,0.0,2,3.75,0.071,2
United States of America,All,36,All,Male,Gender -> Age -> Nationality,3.3,0.141,2,4.2,0.0,2,3.6,0.0,2,3.4,0.141,2,3.8,0.0,2
United States of America,All,36,All,Male,Nationality -> Age -> Gender,3.3,0.141,2,4.05,0.071,2,3.55,0.212,2,3.3,0.0,2,3.65,0.071,2
United States of America,All,37,All,Female,Age -> Gender -> Nationality,3.133,0.058,3,4.1,0.1,3,3.567,0.058,3,3.233,0.115,3,3.733,0.058,3
United States of America,All,37,All,Female,Gender -> Age -> Nationality,3.133,0.153,3,4.167,0.058,3,3.633,0.115,3,3.267,0.058,3,3.733,0.058,3
United States of America,All,37,All,Female,Nationality -> Age -> Gender,3.2,0.2,3,4.1,0.1,3,3.633,0.058,3,3.3,0.0,3,3.767,0.058,3
United States of America,All,37,All,Male,Age -> Gender -> Nationality,2.933,0.058,3,4.067,0.058,3,3.433,0.058,3,3.3,0.0,3,3.767,0.058,3
United States of America,All,37,All,Male,Gender -> Age -> Nationality,3.233,0.306,3,4.1,0.1,3,3.667,0.058,3,3.5,0.1,3,3.867,0.058,3
United States of America,All,37,All,Male,Nationality -> Age -> Gender,3.3,0.173,3,4.1,0.1,3,3.567,0.058,3,3.367,0.058,3,3.7,0.1,3
United States of America,All,38,All,Female,Age -> Gender -> Nationality,3.1,,1,4.2,,1,3.7,,1,3.3,,1,3.7,,1
United States of America,All,38,All,Female,Gender -> Age -> Nationality,3.3,,1,4.1,,1,3.5,,1,3.3,,1,3.8,,1
United States of America,All,38,All,Female,Nationality -> Age -> Gender,3.0,,1,4.0,,1,3.5,,1,3.3,,1,3.7,,1
United States of America,All,38,All,Male,Age -> Gender -> Nationality,2.8,0.283,2,4.2,0.0,2,3.55,0.071,2,3.25,0.071,2,3.75,0.071,2
United States of America,All,38,All,Male,Gender -> Age -> Nationality,3.15,0.212,2,4.1,0.141,2,3.65,0.071,2,3.5,0.0,2,3.75,0.071,2
United States of America,All,38,All,Male,Nationality -> Age -> Gender,3.3,0.283,2,4.05,0.071,2,3.6,0.141,2,3.3,0.0,2,3.85,0.071,2
United States of America,All,39,All,Female,Age -> Gender -> Nationality,2.95,0.354,2,4.15,0.071,2,3.6,0.0,2,3.2,0.141,2,3.75,0.071,2
United States of America,All,39,All,Female,Gender -> Age -> Nationality,3.4,0.141,2,4.15,0.071,2,3.5,0.141,2,3.25,0.071,2,3.8,0.0,2
United States of America,All,39,All,Female,Nationality -> Age -> Gender,3.2,0.424,2,4.15,0.071,2,3.65,0.071,2,3.35,0.071,2,3.75,0.071,2
United States of America,All,39,All,Male,Age -> Gender -> Nationality,3.05,0.071,2,4.1,0.0,2,3.6,0.141,2,3.3,0.0,2,3.75,0.071,2
United States of America,All,39,All,Male,Gender -> Age -> Nationality,3.25,0.212,2,4.15,0.071,2,3.6,0.141,2,3.35,0.071,2,3.8,0.0,2
United States of America,All,39,All,Male,Nationality -> Age -> Gender,3.1,0.0,2,4.1,0.0,2,3.55,0.071,2,3.4,0.141,2,3.85,0.212,2
United States of America,All,40,All,Female,Age -> Gender -> Nationality,3.233,0.058,3,4.2,0.0,3,3.633,0.058,3,3.267,0.058,3,3.8,0.0,3
United States of America,All,40,All,Female,Gender -> Age -> Nationality,3.133,0.153,3,4.167,0.058,3,3.667,0.058,3,3.267,0.058,3,3.733,0.058,3
United States of America,All,40,All,Female,Nationality -> Age -> Gender,3.033,0.058,3,4.2,0.0,3,3.633,0.058,3,3.3,0.0,3,3.8,0.0,3
United States of America,All,41,All,Female,Age -> Gender -> Nationality,2.9,0.2,5,4.1,0.1,5,3.62,0.13,5,3.32,0.11,5,3.8,0.071,5
United States of America,All,41,All,Female,Gender -> Age -> Nationality,3.0,0.122,5,4.12,0.045,5,3.66,0.089,5,3.28,0.045,5,3.82,0.11,5
United States of America,All,41,All,Female,Nationality -> Age -> Gender,3.18,0.192,5,4.12,0.084,5,3.62,0.13,5,3.32,0.045,5,3.78,0.045,5
United States of America,All,41,All,Male,Age -> Gender -> Nationality,2.8,,1,4.2,,1,3.6,,1,3.3,,1,3.8,,1
United States of America,All,41,All,Male,Gender -> Age -> Nationality,3.3,,1,4.1,,1,3.4,,1,3.4,,1,3.9,,1
United States of America,All,41,All,Male,Nationality -> Age -> Gender,3.5,,1,4.0,,1,3.7,,1,3.3,,1,3.8,,1
United States of America,All,42,All,Female,Age -> Gender -> Nationality,3.1,0.141,2,4.2,0.0,2,3.6,0.141,2,3.25,0.071,2,3.8,0.0,2
United States of America,All,42,All,Female,Gender -> Age -> Nationality,3.15,0.071,2,4.1,0.0,2,3.75,0.071,2,3.3,0.0,2,3.8,0.0,2
United States of America,All,42,All,Female,Nationality -> Age -> Gender,2.95,0.071,2,4.05,0.212,2,3.75,0.071,2,3.25,0.071,2,3.75,0.071,2
United States of America,All,42,All,Male,Age -> Gender -> Nationality,3.1,,1,4.1,,1,3.5,,1,3.3,,1,3.7,,1
United States of America,All,42,All,Male,Gender -> Age -> Nationality,3.2,,1,4.0,,1,3.6,,1,3.3,,1,3.8,,1
United States of America,All,42,All,Male,Nationality -> Age -> Gender,2.9,,1,4.0,,1,3.7,,1,3.3,,1,3.7,,1
United States of America,All,43,All,Female,Age -> Gender -> Nationality,2.875,0.222,4,4.175,0.05,4,3.55,0.1,4,3.275,0.05,4,3.775,0.05,4
United States of America,All,43,All,Female,Gender -> Age -> Nationality,3.15,0.058,4,4.2,0.0,4,3.55,0.129,4,3.35,0.1,4,3.775,0.05,4
United States of America,All,43,All,Female,Nationality -> Age -> Gender,3.3,0.115,4,4.175,0.05,4,3.675,0.05,4,3.35,0.1,4,3.775,0.05,4
United States of America,All,44,All,Female,Age -> Gender -> Nationality,3.0,,1,4.1,,1,3.6,,1,3.3,,1,3.9,,1
United States of America,All,44,All,Female,Gender -> Age -> Nationality,2.6,,1,4.2,,1,3.6,,1,3.2,,1,3.8,,1
United States of America,All,44,All,Female,Nationality -> Age -> Gender,3.5,,1,4.1,,1,3.6,,1,3.3,,1,3.8,,1
United States of America,All,44,All,Male,Age -> Gender -> Nationality,2.9,,1,4.1,,1,3.6,,1,3.3,,1,3.7,,1
United States of America,All,44,All,Male,Gender -> Age -> Nationality,3.2,,1,4.2,,1,3.6,,1,3.2,,1,3.8,,1
United States of America,All,44,All,Male,Nationality -> Age -> Gender,3.3,,1,4.2,,1,3.8,,1,3.4,,1,3.8,,1
United States of America,All,45,All,Female,Age -> Gender -> Nationality,3.0,0.082,4,4.15,0.058,4,3.625,0.096,4,3.3,0.0,4,3.825,0.126,4
United States of America,All,45,All,Female,Gender -> Age -> Nationality,3.2,0.183,4,4.15,0.129,4,3.625,0.05,4,3.35,0.1,4,3.8,0.0,4
United States of America,All,45,All,Female,Nationality -> Age -> Gender,3.3,0.082,4,4.15,0.058,4,3.6,0.082,4,3.3,0.0,4,3.85,0.058,4
United States of America,All,46,All,Female,Age -> Gender -> Nationality,3.28,0.084,5,4.1,0.071,5,3.58,0.084,5,3.3,0.0,5,3.82,0.084,5
United States of America,All,46,All,Female,Gender -> Age -> Nationality,3.12,0.217,5,4.16,0.055,5,3.6,0.158,5,3.3,0.0,5,3.8,0.0,5
United States of America,All,46,All,Female,Nationality -> Age -> Gender,3.12,0.148,5,4.18,0.045,5,3.66,0.089,5,3.26,0.089,5,3.78,0.084,5
United States of America,All,46,All,Male,Age -> Gender -> Nationality,2.8,,1,4.0,,1,3.6,,1,3.3,,1,3.8,,1
United States of America,All,46,All,Male,Gender -> Age -> Nationality,3.0,,1,4.1,,1,3.5,,1,3.4,,1,3.8,,1
United States of America,All,46,All,Male,Nationality -> Age -> Gender,3.4,,1,4.2,,1,3.7,,1,3.3,,1,3.8,,1
United States of America,All,47,All,Female,Age -> Gender -> Nationality,3.0,,1,4.1,,1,3.5,,1,3.3,,1,3.8,,1
United States of America,All,47,All,Female,Gender -> Age -> Nationality,3.1,,1,4.1,,1,3.6,,1,3.3,,1,3.7,,1
United States of America,All,47,All,Female,Nationality -> Age -> Gender,3.2,,1,4.2,,1,3.8,,1,3.3,,1,3.8,,1
United States of America,All,47,All,Male,Age -> Gender -> Nationality,3.1,,1,4.2,,1,3.6,,1,3.4,,1,3.6,,1
United States of America,All,47,All,Male,Gender -> Age -> Nationality,3.1,,1,4.1,,1,3.8,,1,3.5,,1,3.7,,1
United States of America,All,47,All,Male,Nationality -> Age -> Gender,3.3,,1,4.1,,1,3.5,,1,3.4,,1,3.7,,1
United States of America,All,48,All,Male,Age -> Gender -> Nationality,3.2,,1,4.1,,1,3.7,,1,3.4,,1,3.7,,1
United States of America,All,48,All,Male,Gender -> Age -> Nationality,3.2,,1,4.1,,1,3.7,,1,3.5,,1,3.8,,1
United States of America,All,48,All,Male,Nationality -> Age -> Gender,3.0,,1,4.2,,1,3.6,,1,3.3,,1,3.9,,1
United States of America,All,49,All,Female,Age -> Gender -> Nationality,2.9,0.1,3,4.1,0.1,3,3.6,0.0,3,3.267,0.058,3,3.767,0.058,3
United States of America,All,49,All,Female,Gender -> Age -> Nationality,3.1,0.2,3,4.133,0.058,3,3.567,0.153,3,3.267,0.058,3,3.767,0.058,3
United States of America,All,49,All,Female,Nationality -> Age -> Gender,3.033,0.115,3,4.2,0.0,3,3.667,0.115,3,3.333,0.058,3,3.8,0.0,3
United States of America,All,49,All,Male,Age -> Gender -> Nationality,3.1,,1,4.2,,1,3.6,,1,3.3,,1,3.7,,1
United States of America,All,49,All,Male,Gender -> Age -> Nationality,3.0,,1,4.1,,1,3.7,,1,3.4,,1,3.8,,1
United States of America,All,49,All,Male,Nationality -> Age -> Gender,3.1,,1,4.2,,1,3.6,,1,3.4,,1,3.9,,1
United States of America,All,50,All,Female,Age -> Gender -> Nationality,2.8,0.265,3,4.167,0.058,3,3.633,0.058,3,3.267,0.058,3,3.767,0.115,3
United States of America,All,50,All,Female,Gender -> Age -> Nationality,3.033,0.208,3,4.2,0.0,3,3.667,0.058,3,3.3,0.0,3,3.833,0.058,3
United States of America,All,50,All,Female,Nationality -> Age -> Gender,3.133,0.115,3,4.2,0.0,3,3.667,0.058,3,3.367,0.115,3,3.833,0.058,3
United States of America,All,51,All,Female,Age -> Gender -> Nationality,3.011,0.154,9,4.144,0.073,9,3.611,0.105,9,3.322,0.044,9,3.756,0.088,9
United States of America,All,51,All,Female,Gender -> Age -> Nationality,2.956,0.133,9,4.167,0.05,9,3.678,0.067,9,3.333,0.071,9,3.767,0.05,9
United States of America,All,51,All,Female,Nationality -> Age -> Gender,3.167,0.224,9,4.122,0.044,9,3.611,0.105,9,3.311,0.06,9,3.811,0.078,9
United States of America,All,52,All,Female,Age -> Gender -> Nationality,2.967,0.252,3,4.1,0.0,3,3.633,0.153,3,3.3,0.0,3,3.833,0.058,3
United States of America,All,52,All,Female,Gender -> Age -> Nationality,3.067,0.115,3,4.2,0.0,3,3.767,0.058,3,3.3,0.0,3,3.767,0.058,3
United States of America,All,52,All,Female,Nationality -> Age -> Gender,2.967,0.321,3,4.133,0.058,3,3.633,0.115,3,3.367,0.115,3,3.833,0.058,3
United States of America,All,52,All,Male,Age -> Gender -> Nationality,2.9,,1,4.1,,1,3.6,,1,3.3,,1,3.6,,1
United States of America,All,52,All,Male,Gender -> Age -> Nationality,3.2,,1,4.1,,1,3.6,,1,3.5,,1,3.8,,1
United States of America,All,52,All,Male,Nationality -> Age -> Gender,2.9,,1,4.1,,1,3.6,,1,3.4,,1,4.0,,1
United States of America,All,53,All,Female,Age -> Gender -> Nationality,2.9,,1,4.2,,1,3.6,,1,3.3,,1,3.7,,1
United States of America,All,53,All,Female,Gender -> Age -> Nationality,2.7,,1,4.1,,1,3.6,,1,3.2,,1,3.8,,1
United States of America,All,53,All,Female,Nationality -> Age -> Gender,3.2,,1,4.2,,1,3.6,,1,3.3,,1,3.8,,1
United States of America,All,53,All,Male,Age -> Gender -> Nationality,2.7,,1,4.2,,1,3.6,,1,3.5,,1,3.7,,1
United States of America,All,53,All,Male,Gender -> Age -> Nationality,2.9,,1,4.2,,1,3.7,,1,3.5,,1,3.7,,1
United States of America,All,53,All,Male,Nationality -> Age -> Gender,3.2,,1,4.1,,1,3.5,,1,3.5,,1,3.9,,1
United States of America,All,54,All,Female,Age -> Gender -> Nationality,2.95,0.071,2,4.15,0.071,2,3.7,0.0,2,3.4,0.141,2,3.8,0.0,2
United States of America,All,54,All,Female,Gender -> Age -> Nationality,3.1,0.424,2,4.15,0.071,2,3.65,0.071,2,3.25,0.071,2,3.8,0.0,2
United States of America,All,54,All,Female,Nationality -> Age -> Gender,3.2,0.0,2,4.2,0.0,2,3.7,0.0,2,3.3,0.0,2,3.8,0.0,2
United States of America,All,54,All,Male,Age -> Gender -> Nationality,2.9,0.141,2,4.1,0.0,2,3.55,0.071,2,3.35,0.071,2,3.7,0.0,2
United States of America,All,54,All,Male,Gender -> Age -> Nationality,2.8,0.0,2,4.1,0.141,2,3.65,0.071,2,3.3,0.0,2,3.7,0.0,2
United States of America,All,54,All,Male,Nationality -> Age -> Gender,3.15,0.071,2,4.15,0.071,2,3.55,0.071,2,3.45,0.071,2,3.7,0.141,2
United States of America,All,55,All,Female,Age -> Gender -> Nationality,3.033,0.252,3,4.2,0.0,3,3.633,0.058,3,3.3,0.0,3,3.767,0.058,3
United States of America,All,55,All,Female,Gender -> Age -> Nationality,3.133,0.153,3,4.167,0.058,3,3.733,0.058,3,3.367,0.058,3,3.8,0.0,3
United States of America,All,55,All,Female,Nationality -> Age -> Gender,3.167,0.058,3,4.067,0.058,3,3.633,0.058,3,3.3,0.0,3,3.833,0.058,3
United States of America,All,56,All,Male,Age -> Gender -> Nationality,3.067,0.153,3,4.033,0.115,3,3.567,0.058,3,3.367,0.058,3,3.667,0.058,3
United States of America,All,56,All,Male,Gender -> Age -> Nationality,2.9,0.1,3,4.067,0.153,3,3.6,0.0,3,3.467,0.058,3,3.733,0.058,3
United States of America,All,56,All,Male,Nationality -> Age -> Gender,3.2,0.1,3,4.067,0.058,3,3.633,0.058,3,3.367,0.058,3,3.8,0.1,3
United States of America,All,57,All,Female,Age -> Gender -> Nationality,2.8,,1,4.2,,1,3.6,,1,3.3,,1,3.6,,1
United States of America,All,57,All,Female,Gender -> Age -> Nationality,2.9,,1,4.2,,1,3.6,,1,3.3,,1,3.9,,1
United States of America,All,57,All,Female,Nationality -> Age -> Gender,3.3,,1,4.2,,1,3.7,,1,3.3,,1,3.8,,1
United States of America,All,57,All,Male,Age -> Gender -> Nationality,3.1,,1,4.1,,1,3.4,,1,3.4,,1,3.6,,1
United States of America,All,57,All,Male,Gender -> Age -> Nationality,3.0,,1,4.2,,1,3.6,,1,3.3,,1,3.9,,1
United States of America,All,57,All,Male,Nationality -> Age -> Gender,3.1,,1,4.0,,1,3.6,,1,3.3,,1,3.8,,1
United States of America,All,58,All,Male,Age -> Gender -> Nationality,2.833,0.153,3,4.1,0.0,3,3.6,0.1,3,3.4,0.1,3,3.733,0.153,3
United States of America,All,58,All,Male,Gender -> Age -> Nationality,3.0,0.1,3,4.167,0.058,3,3.667,0.058,3,3.4,0.1,3,3.633,0.058,3
United States of America,All,58,All,Male,Nationality -> Age -> Gender,3.3,0.1,3,4.133,0.058,3,3.6,0.1,3,3.467,0.153,3,3.767,0.058,3
United States of America,All,59,All,Female,Age -> Gender -> Nationality,3.1,,1,4.2,,1,3.6,,1,3.4,,1,3.7,,1
United States of America,All,59,All,Female,Gender -> Age -> Nationality,3.0,,1,4.0,,1,3.6,,1,3.4,,1,3.8,,1
United States of America,All,59,All,Female,Nationality -> Age -> Gender,3.1,,1,4.2,,1,3.6,,1,3.3,,1,3.9,,1
United States of America,All,59,All,Male,Age -> Gender -> Nationality,2.5,0.283,2,4.1,0.141,2,3.55,0.071,2,3.45,0.071,2,3.65,0.071,2
United States of America,All,59,All,Male,Gender -> Age -> Nationality,2.95,0.212,2,4.1,0.0,2,3.6,0.0,2,3.45,0.071,2,3.8,0.283,2
United States of America,All,59,All,Male,Nationality -> Age -> Gender,3.15,0.071,2,4.1,0.0,2,3.6,0.0,2,3.45,0.071,2,3.9,0.141,2
United States of America,All,60,All,Female,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.7,,1,3.4,,1,3.8,,1
United States of America,All,60,All,Female,Gender -> Age -> Nationality,2.9,,1,4.2,,1,3.7,,1,3.4,,1,3.9,,1
United States of America,All,60,All,Female,Nationality -> Age -> Gender,3.1,,1,4.2,,1,3.6,,1,3.4,,1,3.7,,1
United States of America,All,60,All,Male,Age -> Gender -> Nationality,3.0,,1,4.1,,1,3.5,,1,3.5,,1,3.7,,1
United States of America,All,60,All,Male,Gender -> Age -> Nationality,2.8,,1,4.2,,1,3.6,,1,3.5,,1,3.8,,1
United States of America,All,60,All,Male,Nationality -> Age -> Gender,2.8,,1,4.0,,1,3.9,,1,3.3,,1,3.6,,1
United States of America,All,62,All,Female,Age -> Gender -> Nationality,3.0,,1,4.1,,1,3.6,,1,3.5,,1,3.8,,1
United States of America,All,62,All,Female,Gender -> Age -> Nationality,3.0,,1,4.2,,1,3.7,,1,3.4,,1,3.8,,1
United States of America,All,62,All,Female,Nationality -> Age -> Gender,3.1,,1,4.2,,1,3.6,,1,3.3,,1,3.7,,1
United States of America,All,62,All,Male,Age -> Gender -> Nationality,2.9,,1,4.0,,1,3.7,,1,3.5,,1,3.6,,1
United States of America,All,62,All,Male,Gender -> Age -> Nationality,2.9,,1,4.0,,1,3.5,,1,3.4,,1,3.9,,1
United States of America,All,62,All,Male,Nationality -> Age -> Gender,3.0,,1,4.2,,1,3.5,,1,3.3,,1,3.9,,1
United States of America,All,63,All,Female,Age -> Gender -> Nationality,2.8,0.141,2,4.1,0.141,2,3.6,0.0,2,3.35,0.071,2,3.7,0.0,2
United States of America,All,63,All,Female,Gender -> Age -> Nationality,2.9,0.0,2,4.2,0.0,2,3.65,0.071,2,3.45,0.071,2,3.65,0.071,2
United States of America,All,63,All,Female,Nationality -> Age -> Gender,3.15,0.071,2,4.05,0.212,2,3.65,0.071,2,3.35,0.071,2,3.8,0.141,2
United States of America,All,65,All,Female,Age -> Gender -> Nationality,2.85,0.071,2,4.1,0.0,2,3.7,0.141,2,3.4,0.0,2,3.65,0.071,2
United States of America,All,65,All,Female,Gender -> Age -> Nationality,3.0,0.141,2,4.2,0.0,2,3.7,0.0,2,3.55,0.071,2,3.7,0.0,2
United States of America,All,65,All,Female,Nationality -> Age -> Gender,2.95,0.354,2,4.15,0.071,2,3.8,0.0,2,3.5,0.0,2,3.85,0.071,2
United States of America,All,69,All,Female,Age -> Gender -> Nationality,2.767,0.115,3,4.167,0.058,3,3.567,0.115,3,3.4,0.1,3,3.7,0.1,3
United States of America,All,69,All,Female,Gender -> Age -> Nationality,2.8,0.346,3,4.2,0.0,3,3.667,0.058,3,3.567,0.058,3,3.7,0.1,3
United States of America,All,69,All,Female,Nationality -> Age -> Gender,3.1,0.361,3,4.233,0.058,3,3.733,0.058,3,3.333,0.058,3,3.8,0.0,3
United States of America,All,70,All,Female,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.6,,1,3.6,,1,3.6,,1
United States of America,All,70,All,Female,Gender -> Age -> Nationality,2.6,,1,4.2,,1,3.6,,1,3.6,,1,3.6,,1
United States of America,All,70,All,Female,Nationality -> Age -> Gender,2.8,,1,4.2,,1,3.6,,1,3.5,,1,3.8,,1
"Venezuela, Bolivarian Republic of",All,20,All,Male,Age -> Gender -> Nationality,3.2,,1,4.2,,1,3.4,,1,3.1,,1,3.7,,1
"Venezuela, Bolivarian Republic of",All,20,All,Male,Gender -> Age -> Nationality,3.1,,1,4.2,,1,3.3,,1,3.3,,1,3.7,,1
"Venezuela, Bolivarian Republic of",All,20,All,Male,Nationality -> Age -> Gender,3.0,,1,4.2,,1,3.1,,1,3.2,,1,3.6,,1
"Venezuela, Bolivarian Republic of",All,21,All,Male,Age -> Gender -> Nationality,3.3,,1,4.1,,1,3.4,,1,3.3,,1,3.7,,1
"Venezuela, Bolivarian Republic of",All,21,All,Male,Gender -> Age -> Nationality,3.0,,1,4.2,,1,3.2,,1,3.1,,1,3.7,,1
"Venezuela, Bolivarian Republic of",All,21,All,Male,Nationality -> Age -> Gender,3.1,,1,4.2,,1,3.2,,1,3.3,,1,3.8,,1
"Venezuela, Bolivarian Republic of",All,22,All,Female,Age -> Gender -> Nationality,3.2,,1,4.2,,1,3.4,,1,3.3,,1,3.8,,1
"Venezuela, Bolivarian Republic of",All,22,All,Female,Gender -> Age -> Nationality,3.2,,1,4.2,,1,3.2,,1,3.1,,1,3.8,,1
"Venezuela, Bolivarian Republic of",All,22,All,Female,Nationality -> Age -> Gender,3.3,,1,4.3,,1,3.4,,1,3.2,,1,3.8,,1
Viet Nam,All,17,All,Female,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.5,,1,3.1,,1,3.7,,1
Viet Nam,All,17,All,Female,Gender -> Age -> Nationality,2.6,,1,4.2,,1,3.4,,1,3.3,,1,3.8,,1
